category,key,count
total,total_qids,400
pair,en_en,100
pair,en_ro,100
pair,ro_en,100
pair,ro_ro,100
slice,metaphor_only,299
slice,general,101
source,metaphor_list,167
source,paper,167
source,synthetic,66
papers,papers_total,167
papers_breakdown,paper1/2,5
papers_breakdown,paper1,7
papers_breakdown,paper3/4,6
papers_breakdown,paper3,6
papers_breakdown,paper4/5,3
papers_breakdown,paper6/8,4
papers_breakdown,paper8,30
papers_breakdown,paper4/10,2
papers_breakdown,paper7,14
papers_breakdown,paper7/11,6
papers_breakdown,paper10,2
papers_breakdown,paper13,4
papers_breakdown,paper9,20
papers_breakdown,paper6,10
papers_breakdown,paper14,12
papers_breakdown,paper15/16,4
papers_breakdown,paper16,3
papers_breakdown,paper12,6
papers_breakdown,paper5,3
papers_breakdown,paper3/10,2
papers_breakdown,paper4/8,2
papers_breakdown,paper11,8
papers_breakdown,paper17,8
